

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.883  000.872: locale set
001.449  000.566: inits 1
002.259  000.809: window checked
002.508  000.249: parsing arguments
010.495  007.987: expanding arguments
011.434  000.940: inits 2
012.715  001.281: init highlight
012.728  000.014: waiting for UI
024.703  011.975: done waiting for UI
025.219  000.515: init screen for UI
025.339  000.120: init default mappings
025.510  000.171: init default autocommands
027.159  000.261  000.261: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
027.548  000.162  000.162: sourcing /usr/local/share/nvim/runtime/indent.vim
029.088  000.321  000.321: sourcing /usr/local/share/nvim/runtime/syntax/nosyntax.vim
032.850  000.716  000.716: sourcing /Users/mochi/.config/nvim/autoload/jetpack.vim
041.224  000.521  000.521: sourcing /usr/local/share/nvim/runtime/syntax/nosyntax.vim
041.987  000.234  000.234: sourcing /usr/local/share/nvim/runtime/ftplugof.vim
042.546  000.140  000.140: sourcing /usr/local/share/nvim/runtime/indoff.vim
142.870  000.416  000.416: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
143.534  000.122  000.122: sourcing /usr/local/share/nvim/runtime/filetype.lua
161.878  018.200  018.200: sourcing /usr/local/share/nvim/runtime/filetype.vim
169.786  001.127  001.127: sourcing /usr/local/share/nvim/runtime/syntax/lua.vim
173.684  008.222  007.094: sourcing /usr/local/share/nvim/runtime/syntax/vim.vim
178.269  004.405  004.405: sourcing /usr/local/share/nvim/runtime/syntax/vim/generated.vim
178.867  000.180  000.180: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/autoload/dracula.vim
178.904  000.386  000.206: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/syntax/vim.vim
180.310  039.554  007.803: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
180.806  000.090  000.090: sourcing /usr/local/share/nvim/runtime/filetype.lua
180.938  000.026  000.026: sourcing /usr/local/share/nvim/runtime/filetype.vim
181.302  000.077  000.077: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
181.624  000.062  000.062: sourcing /usr/local/share/nvim/runtime/indent.vim
202.401  012.886  012.886: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/colors/dracula.vim
