236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
052.262  039.685  014.741: sourcing /Users/mochi/.config/nvim/init.vim
338.689  017.102: first screen update
032.595  012.762  011.582: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/filetype.vim
107.673  010.423: loading rtp plugins
064.563  008.623  007.389: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/neoclide/coc.nvim_release/plugin/coc.vim
091.114  008.262  000.341: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/fern_preview.vim
091.098  007.921  000.842: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping.vim
090.723  007.079  007.079: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Prompt.vim
258.185  006.235  004.371: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/provider.vim
075.610  005.640  004.939: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/airline.vim
042.195  005.282  005.159: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/colors/dracula.vim
019.553  004.598  003.857: sourcing /Users/mochi/.config/nvim/dein/state_nvim.vim
011.693  004.478: done waiting for UI
006.230  004.422: parsing arguments
303.188  004.267  002.634: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern_preview.vim
082.290  003.808  000.235: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/fern_bookmark.vim
068.606  003.639  003.639: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/nvim-treesitter/nvim-treesitter/plugin/nvim-treesitter.vim
082.277  003.573  002.397: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping.vim
113.540  003.331: reading ShaDa
319.805  002.966: VimEnter autocommands
097.582  002.716  002.028: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/quickhl.vim
265.433  002.416  001.711: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/renderer/nerdfont.vim
148.948  002.161  001.962: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/themes/dracula.vim
102.167  002.127  001.831: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/matchit.vim
055.393  002.053  002.053: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/junegunn/fzf/plugin/fzf.vim
285.094  001.691  001.457: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/spinner.vim
120.984  001.587  001.138: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/term.vim
110.189  001.461: loading after plugins
247.815  001.436  001.064: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/viewer.vim
259.849  001.305  001.110: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/core.vim
078.095  001.278  000.628: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/copilot.vim
321.823  001.232  001.232: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/neoclide/coc.nvim_release/autoload/coc/float.vim
